SA_fleet	species	age_quarters	selectivity
HL-ID-PH-7	BET	21	1
HL-ID-PH-7	BET	22	1
HL-ID-PH-7	BET	23	0.97
HL-ID-PH-7	BET	24	0.91
HL-ID-PH-7	BET	25	0.86
HL-ID-PH-7	BET	26	0.8
HL-ID-PH-7	BET	27	0.74
HL-ID-PH-7	BET	28	0.69
HL-ID-PH-7	BET	29	0.64
HL-ID-PH-7	BET	30	0.61
HL-ID-PH-7	BET	31	0.58
HL-ID-PH-7	BET	32	0.56
HL-ID-PH-7	BET	33	0.55
HL-ID-PH-7	BET	34	0.53
HL-ID-PH-7	BET	35	0.53
HL-ID-PH-7	BET	36	0.51
HL-ID-PH-7	BET	37	0.51
HL-ID-PH-7	BET	38	0.51
HL-ID-PH-7	BET	39	0.51
HL-ID-PH-7	BET	40	0.51
P-JP-1	BET	1	0
P-JP-1	BET	2	0
P-JP-1	BET	3	0.05
P-JP-1	BET	4	0.37
P-JP-1	BET	5	1
P-JP-1	BET	6	0.89
P-JP-1	BET	7	0.47
P-JP-1	BET	8	0.24
P-JP-1	BET	9	0.15
P-JP-1	BET	10	0.15
P-JP-1	BET	11	0.16
P-JP-1	BET	12	0.2
P-JP-1	BET	13	0.21
P-JP-1	BET	14	0.19
P-JP-1	BET	15	0.13
P-JP-1	BET	16	0.08
P-JP-1	BET	17	0.03
P-JP-1	BET	18	0.02
P-JP-1	BET	19	0
P-JP-1	BET	20	0
P-JP-1	BET	21	0
P-JP-1	BET	22	0
P-JP-1	BET	23	0
P-JP-1	BET	24	0
P-JP-1	BET	25	0
P-JP-1	BET	26	0
P-JP-1	BET	27	0
P-JP-1	BET	28	0
P-JP-1	BET	29	0
P-JP-1	BET	30	0
P-JP-1	BET	31	0
P-JP-1	BET	32	0
P-JP-1	BET	33	0
P-JP-1	BET	34	0
P-JP-1	BET	35	0
P-JP-1	BET	36	0
P-JP-1	BET	37	0
P-JP-1	BET	38	0
P-JP-1	BET	39	0
P-JP-1	BET	40	0
P-ALL-3	BET	1	0
P-ALL-3	BET	2	0
P-ALL-3	BET	3	0.05
P-ALL-3	BET	4	0.37
P-ALL-3	BET	5	1
P-ALL-3	BET	6	0.89
P-ALL-3	BET	7	0.48
P-ALL-3	BET	8	0.24
P-ALL-3	BET	9	0.15
P-ALL-3	BET	10	0.15
P-ALL-3	BET	11	0.16
P-ALL-3	BET	12	0.19
P-ALL-3	BET	13	0.21
P-ALL-3	BET	14	0.2
P-ALL-3	BET	15	0.13
